id,node,lon,lat
junction_0,13.247_52.5432,13.247,52.5432
junction_1,13.2442_52.5387,13.2442,52.5387
junction_2,13.2307_52.5301,13.2307,52.5301
junction_3,13.2192_52.5372,13.2192,52.5372
junction_4,13.2355_52.541,13.2355,52.541
junction_5,13.2297_52.5395,13.2297,52.5395
junction_6,13.2427_52.5419,13.2427,52.5419
junction_7,13.2333_52.541,13.2333,52.541
junction_8,13.2471_52.5442,13.2471,52.5442
junction_9,13.2232_52.5373,13.2232,52.5373
junction_10,13.22_52.5384,13.22,52.5384
junction_11,13.2183_52.5381,13.2183,52.5381
junction_12,13.2459_52.5392,13.2459,52.5392
junction_13,13.2323_52.5393,13.2323,52.5393
junction_14,13.2287_52.5382,13.2287,52.5382
junction_15,13.2242_52.5402,13.2242,52.5402
junction_16,13.2469_52.5378,13.2469,52.5378
junction_17,13.2322_52.5406,13.2322,52.5406
junction_18,13.2325_52.5406,13.2325,52.5406
junction_19,13.243_52.5437,13.243,52.5437
junction_20,13.2385_52.5448,13.2385,52.5448
junction_21,13.2403_52.5339,13.2403,52.5339
junction_22,13.2328_52.533,13.2328,52.533
junction_23,13.2354_52.5418,13.2354,52.5418
junction_24,13.2342_52.5414,13.2342,52.5414
junction_25,13.2192_52.5375,13.2192,52.5375
junction_26,13.2264_52.5444,13.2264,52.5444
junction_27,13.229_52.5371,13.229,52.5371
junction_28,13.2343_52.5294,13.2343,52.5294
junction_29,13.2333_52.5295,13.2333,52.5295
junction_30,13.2214_52.5309,13.2214,52.5309
junction_31,13.2276_52.5301,13.2276,52.5301
junction_32,13.2269_52.5302,13.2269,52.5302
junction_33,13.2257_52.5304,13.2257,52.5304
junction_34,13.2475_52.5355,13.2475,52.5355
junction_35,13.2234_52.54,13.2234,52.54
junction_36,13.2236_52.5399,13.2236,52.5399
junction_37,13.2397_52.5451,13.2397,52.5451
junction_38,13.2392_52.545,13.2392,52.545
junction_39,13.2231_52.5369,13.2231,52.5369
junction_40,13.239_52.5389,13.239,52.5389
junction_41,13.2406_52.5387,13.2406,52.5387
junction_42,13.2371_52.5385,13.2371,52.5385
junction_43,13.2306_52.5466,13.2306,52.5466
junction_44,13.2427_52.5407,13.2427,52.5407
junction_45,13.229_52.5319,13.229,52.5319
junction_46,13.2439_52.54,13.2439,52.54
junction_47,13.2209_52.5368,13.2209,52.5368
junction_48,13.2194_52.5377,13.2194,52.5377
junction_49,13.2388_52.5401,13.2388,52.5401
junction_50,13.2221_52.5369,13.2221,52.5369
junction_51,13.2438_52.5459,13.2438,52.5459
junction_52,13.2471_52.542,13.2471,52.542
junction_53,13.233_52.5314,13.233,52.5314
junction_54,13.2334_52.5314,13.2334,52.5314
junction_55,13.2209_52.5393,13.2209,52.5393
junction_56,13.2332_52.5385,13.2332,52.5385
junction_57,13.2323_52.5372,13.2323,52.5372
junction_58,13.2231_52.5402,13.2231,52.5402
junction_59,13.2299_52.538,13.2299,52.538
junction_60,13.2285_52.5397,13.2285,52.5397
junction_61,13.2324_52.5384,13.2324,52.5384
junction_62,13.2327_52.5333,13.2327,52.5333
junction_63,13.2288_52.5392,13.2288,52.5392
junction_64,13.2382_52.5289,13.2382,52.5289
junction_65,13.2313_52.5375,13.2313,52.5375
junction_66,13.246_52.5386,13.246,52.5386
junction_67,13.2285_52.5421,13.2285,52.5421
junction_68,13.2467_52.5381,13.2467,52.5381
junction_69,13.2315_52.5325,13.2315,52.5325
junction_70,13.2373_52.5299,13.2373,52.5299
junction_71,13.2341_52.5386,13.2341,52.5386
junction_72,13.222_52.5315,13.222,52.5315
junction_73,13.2362_52.5389,13.2362,52.5389
junction_74,13.245_52.5424,13.245,52.5424
junction_75,13.2314_52.5326,13.2314,52.5326
junction_76,13.2257_52.5306,13.2257,52.5306
junction_77,13.2303_52.5301,13.2303,52.5301
junction_78,13.2323_52.5416,13.2323,52.5416
junction_79,13.229_52.539,13.229,52.539
junction_80,13.2306_52.5381,13.2306,52.5381
junction_81,13.2314_52.5382,13.2314,52.5382
junction_82,13.2266_52.539,13.2266,52.539
junction_83,13.2264_52.5435,13.2264,52.5435
junction_84,13.2451_52.5387,13.2451,52.5387
junction_85,13.2308_52.5417,13.2308,52.5417
junction_86,13.2472_52.5441,13.2472,52.5441
junction_87,13.2315_52.533,13.2315,52.533
junction_88,13.2341_52.5385,13.2341,52.5385
junction_89,13.2197_52.5375,13.2197,52.5375
junction_90,13.2321_52.5399,13.2321,52.5399
junction_91,13.2228_52.5419,13.2228,52.5419
junction_92,13.2225_52.5414,13.2225,52.5414
junction_93,13.2225_52.5409,13.2225,52.5409
junction_94,13.233_52.5407,13.233,52.5407
junction_95,13.2415_52.5438,13.2415,52.5438
junction_96,13.2317_52.5331,13.2317,52.5331
junction_97,13.2393_52.5416,13.2393,52.5416
junction_98,13.2326_52.5324,13.2326,52.5324
junction_99,13.2318_52.5315,13.2318,52.5315
junction_100,13.2172_52.5286,13.2172,52.5286
junction_101,13.2476_52.5376,13.2476,52.5376
junction_102,13.2326_52.5388,13.2326,52.5388
junction_103,13.2372_52.5463,13.2372,52.5463
junction_104,13.2246_52.5382,13.2246,52.5382
junction_105,13.2317_52.5452,13.2317,52.5452
junction_106,13.2473_52.54,13.2473,52.54
junction_107,13.2242_52.5308,13.2242,52.5308
junction_108,13.2324_52.5387,13.2324,52.5387
junction_109,13.2433_52.5438,13.2433,52.5438
junction_110,13.2424_52.5283,13.2424,52.5283
junction_111,13.2372_52.5315,13.2372,52.5315
junction_112,13.2248_52.5422,13.2248,52.5422
junction_113,13.2256_52.5391,13.2256,52.5391
junction_114,13.218_52.5314,13.218,52.5314
junction_115,13.2361_52.5466,13.2361,52.5466
junction_116,13.22_52.5409,13.22,52.5409
junction_117,13.2373_52.5303,13.2373,52.5303
junction_118,13.2471_52.5383,13.2471,52.5383
junction_119,13.2405_52.5384,13.2405,52.5384
junction_120,13.2256_52.5385,13.2256,52.5385
junction_121,13.2169_52.5314,13.2169,52.5314
junction_122,13.2349_52.5462,13.2349,52.5462
junction_123,13.2429_52.5451,13.2429,52.5451
junction_124,13.233_52.5301,13.233,52.5301
junction_125,13.2189_52.5386,13.2189,52.5386
junction_126,13.2196_52.5381,13.2196,52.5381
junction_127,13.2475_52.54,13.2475,52.54
junction_128,13.238_52.5348,13.238,52.5348
junction_129,13.2378_52.5349,13.2378,52.5349
junction_130,13.2371_52.5303,13.2371,52.5303
junction_131,13.2372_52.5303,13.2372,52.5303
junction_132,13.2188_52.5323,13.2188,52.5323
junction_133,13.2384_52.5373,13.2384,52.5373
junction_134,13.2391_52.5371,13.2391,52.5371
junction_135,13.2212_52.5405,13.2212,52.5405
junction_136,13.246_52.5403,13.246,52.5403
junction_137,13.2352_52.5387,13.2352,52.5387
junction_138,13.2353_52.5385,13.2353,52.5385
junction_139,13.2354_52.5385,13.2354,52.5385
junction_140,13.2292_52.5319,13.2292,52.5319
junction_141,13.2315_52.5392,13.2315,52.5392
junction_142,13.2368_52.5389,13.2368,52.5389
junction_143,13.2387_52.5293,13.2387,52.5293
junction_144,13.2299_52.5318,13.2299,52.5318
junction_145,13.2309_52.5327,13.2309,52.5327
junction_146,13.2292_52.5324,13.2292,52.5324
junction_147,13.2293_52.5324,13.2293,52.5324
junction_148,13.2294_52.5324,13.2294,52.5324
junction_149,13.2187_52.5366,13.2187,52.5366
junction_150,13.2311_52.5331,13.2311,52.5331
junction_151,13.2299_52.5323,13.2299,52.5323
junction_152,13.2301_52.5323,13.2301,52.5323
junction_153,13.2319_52.5362,13.2319,52.5362
junction_154,13.2318_52.5333,13.2318,52.5333
junction_155,13.2465_52.5444,13.2465,52.5444
junction_156,13.2412_52.5375,13.2412,52.5375
junction_157,13.2411_52.5374,13.2411,52.5374
junction_158,13.2413_52.5372,13.2413,52.5372
junction_159,13.2241_52.5307,13.2241,52.5307
junction_160,13.2209_52.5326,13.2209,52.5326
junction_161,13.2208_52.5327,13.2208,52.5327
junction_162,13.2243_52.5308,13.2243,52.5308
junction_163,13.2408_52.5453,13.2408,52.5453
junction_164,13.2378_52.529,13.2378,52.529
junction_165,13.2371_52.5299,13.2371,52.5299
junction_166,13.2378_52.5425,13.2378,52.5425
junction_167,13.245_52.5344,13.245,52.5344
junction_168,13.2236_52.5395,13.2236,52.5395
junction_169,13.2185_52.5313,13.2185,52.5313
junction_170,13.2181_52.5381,13.2181,52.5381
junction_171,13.2199_52.5388,13.2199,52.5388
junction_172,13.2382_52.5291,13.2382,52.5291
junction_173,13.2202_52.5315,13.2202,52.5315
junction_174,13.2354_52.5293,13.2354,52.5293
junction_175,13.2186_52.5315,13.2186,52.5315
junction_176,13.2224_52.5327,13.2224,52.5327
junction_177,13.2457_52.5442,13.2457,52.5442
junction_178,13.2275_52.5328,13.2275,52.5328
junction_179,13.2431_52.5437,13.2431,52.5437
junction_180,13.243_52.5438,13.243,52.5438
junction_181,13.2306_52.5299,13.2306,52.5299
junction_182,13.2306_52.5322,13.2306,52.5322
junction_183,13.2308_52.5315,13.2308,52.5315
junction_184,13.2307_52.5316,13.2307,52.5316
junction_185,13.2465_52.5464,13.2465,52.5464
junction_186,13.2365_52.5422,13.2365,52.5422
junction_187,13.2338_52.5459,13.2338,52.5459
junction_188,13.2336_52.5459,13.2336,52.5459
junction_189,13.2218_52.5327,13.2218,52.5327
junction_190,13.2274_52.5411,13.2274,52.5411
junction_191,13.2191_52.537,13.2191,52.537
junction_192,13.2471_52.5443,13.2471,52.5443
junction_193,13.2283_52.5419,13.2283,52.5419
junction_194,13.233_52.5408,13.233,52.5408
junction_195,13.2326_52.5407,13.2326,52.5407
junction_196,13.2258_52.5472,13.2258,52.5472
junction_197,13.2307_52.5322,13.2307,52.5322
junction_198,13.2398_52.5428,13.2398,52.5428
junction_199,13.2399_52.5285,13.2399,52.5285
junction_200,13.2459_52.5359,13.2459,52.5359
junction_201,13.222_52.5309,13.222,52.5309
junction_202,13.2299_52.54,13.2299,52.54
junction_203,13.2267_52.5406,13.2267,52.5406
junction_204,13.2266_52.5406,13.2266,52.5406
junction_205,13.2265_52.5406,13.2265,52.5406
junction_206,13.2265_52.539,13.2265,52.539
junction_207,13.2282_52.5397,13.2282,52.5397
junction_208,13.2325_52.5407,13.2325,52.5407
junction_209,13.2322_52.5384,13.2322,52.5384
junction_210,13.2326_52.5384,13.2326,52.5384
junction_211,13.2414_52.5441,13.2414,52.5441
junction_212,13.2248_52.5409,13.2248,52.5409
junction_213,13.2232_52.5311,13.2232,52.5311
junction_214,13.2232_52.5308,13.2232,52.5308
junction_215,13.2326_52.5406,13.2326,52.5406
junction_216,13.2326_52.5285,13.2326,52.5285
junction_217,13.2452_52.5364,13.2452,52.5364
junction_218,13.2467_52.5319,13.2467,52.5319
junction_219,13.2466_52.5364,13.2466,52.5364
junction_220,13.2463_52.5358,13.2463,52.5358
junction_221,13.2462_52.5358,13.2462,52.5358
junction_222,13.245_52.532,13.245,52.532
junction_223,13.2467_52.5318,13.2467,52.5318
junction_224,13.2417_52.5433,13.2417,52.5433
junction_225,13.2174_52.5289,13.2174,52.5289
junction_226,13.2458_52.5397,13.2458,52.5397
junction_227,13.2451_52.5421,13.2451,52.5421
junction_228,13.2217_52.529,13.2217,52.529
junction_229,13.2217_52.5291,13.2217,52.5291
junction_230,13.2217_52.5292,13.2217,52.5292
junction_231,13.2426_52.5281,13.2426,52.5281
junction_232,13.2296_52.5396,13.2296,52.5396
junction_233,13.232_52.5399,13.232,52.5399
junction_234,13.2307_52.5386,13.2307,52.5386
junction_235,13.2302_52.5389,13.2302,52.5389
junction_236,13.2311_52.5425,13.2311,52.5425
junction_237,13.2317_52.5383,13.2317,52.5383
junction_238,13.2434_52.5438,13.2434,52.5438
junction_239,13.2323_52.5394,13.2323,52.5394
junction_240,13.2427_52.5281,13.2427,52.5281
junction_241,13.2427_52.5282,13.2427,52.5282
junction_242,13.229_52.5389,13.229,52.5389
junction_243,13.2319_52.5407,13.2319,52.5407
junction_244,13.2318_52.5408,13.2318,52.5408
junction_245,13.2322_52.5409,13.2322,52.5409
junction_246,13.2322_52.5407,13.2322,52.5407
junction_247,13.2242_52.5284,13.2242,52.5284
junction_248,13.2415_52.5385,13.2415,52.5385
junction_249,13.2283_52.5397,13.2283,52.5397
junction_250,13.2298_52.5397,13.2298,52.5397
junction_251,13.2266_52.5403,13.2266,52.5403
junction_252,13.2266_52.5391,13.2266,52.5391
junction_253,13.2289_52.5378,13.2289,52.5378
junction_254,13.2449_52.5396,13.2449,52.5396
junction_255,13.2181_52.5285,13.2181,52.5285
junction_256,13.2451_52.5389,13.2451,52.5389
junction_257,13.245_52.5394,13.245,52.5394
junction_258,13.245_52.5391,13.245,52.5391
junction_259,13.2444_52.5423,13.2444,52.5423
junction_260,13.2395_52.5428,13.2395,52.5428
junction_261,13.245_52.539,13.245,52.539
junction_262,13.2246_52.5449,13.2246,52.5449
junction_263,13.2451_52.5388,13.2451,52.5388
junction_264,13.2449_52.5395,13.2449,52.5395
junction_265,13.245_52.5393,13.245,52.5393
junction_266,13.2209_52.5401,13.2209,52.5401
junction_267,13.2223_52.5392,13.2223,52.5392
junction_268,13.2224_52.5393,13.2224,52.5393
junction_269,13.2339_52.5413,13.2339,52.5413
junction_270,13.2446_52.5433,13.2446,52.5433
junction_271,13.2319_52.5392,13.2319,52.5392
junction_272,13.2317_52.541,13.2317,52.541
junction_273,13.2309_52.5418,13.2309,52.5418
junction_274,13.231_52.542,13.231,52.542
junction_275,13.2312_52.5425,13.2312,52.5425
junction_276,13.2314_52.5425,13.2314,52.5425
junction_277,13.2314_52.542,13.2314,52.542
junction_278,13.2332_52.5411,13.2332,52.5411
junction_279,13.2471_52.544,13.2471,52.544
junction_280,13.2469_52.5441,13.2469,52.5441
junction_281,13.247_52.544,13.247,52.544
junction_282,13.247_52.5441,13.247,52.5441
junction_283,13.2473_52.5392,13.2473,52.5392
junction_284,13.2261_52.5436,13.2261,52.5436
junction_285,13.2473_52.5412,13.2473,52.5412
junction_286,13.2469_52.5412,13.2469,52.5412
junction_287,13.2295_52.5382,13.2295,52.5382
junction_288,13.2471_52.5384,13.2471,52.5384
junction_289,13.2175_52.5377,13.2175,52.5377
junction_290,13.2473_52.5441,13.2473,52.5441
junction_291,13.2139_52.5385,13.2139,52.5385
junction_292,13.2175_52.529,13.2175,52.529
junction_293,13.2346_52.5294,13.2346,52.5294
junction_294,13.2434_52.5429,13.2434,52.5429
junction_295,13.2435_52.5429,13.2435,52.5429
junction_296,13.2352_52.5296,13.2352,52.5296
junction_297,13.2203_52.5316,13.2203,52.5316
junction_298,13.2199_52.5371,13.2199,52.5371
junction_299,13.2355_52.5302,13.2355,52.5302
junction_300,13.2267_52.5302,13.2267,52.5302
junction_301,13.2262_52.5452,13.2262,52.5452
junction_302,13.2353_52.5296,13.2353,52.5296
junction_303,13.2248_52.5447,13.2248,52.5447
junction_304,13.232_52.5385,13.232,52.5385
junction_305,13.2307_52.5463,13.2307,52.5463
junction_306,13.2322_52.5405,13.2322,52.5405
junction_307,13.2322_52.5403,13.2322,52.5403
junction_308,13.2322_52.5401,13.2322,52.5401
junction_309,13.241_52.5419,13.241,52.5419
junction_310,13.2456_52.5415,13.2456,52.5415
junction_311,13.247_52.5404,13.247,52.5404
junction_312,13.2442_52.5382,13.2442,52.5382
junction_313,13.2319_52.5386,13.2319,52.5386
junction_314,13.2319_52.5385,13.2319,52.5385
junction_315,13.2468_52.5417,13.2468,52.5417
junction_316,13.2443_52.544,13.2443,52.544
junction_317,13.2423_52.5424,13.2423,52.5424
junction_318,13.2477_52.5402,13.2477,52.5402
junction_319,13.2409_52.542,13.2409,52.542
junction_320,13.2416_52.5434,13.2416,52.5434
junction_321,13.2469_52.539,13.2469,52.539
junction_322,13.233_52.5406,13.233,52.5406
junction_323,13.2325_52.5405,13.2325,52.5405
junction_324,13.224_52.5411,13.224,52.5411
junction_325,13.2207_52.5323,13.2207,52.5323
junction_326,13.2371_52.5389,13.2371,52.5389
junction_327,13.2326_52.5402,13.2326,52.5402
junction_328,13.2405_52.5419,13.2405,52.5419
junction_329,13.2315_52.5305,13.2315,52.5305
junction_330,13.2382_52.5424,13.2382,52.5424
junction_331,13.2327_52.5325,13.2327,52.5325
junction_332,13.2327_52.5324,13.2327,52.5324
junction_333,13.239_52.5388,13.239,52.5388
junction_334,13.2296_52.5379,13.2296,52.5379
junction_335,13.2287_52.5354,13.2287,52.5354
junction_336,13.2231_52.5288,13.2231,52.5288
junction_337,13.225_52.5454,13.225,52.5454
junction_338,13.2467_52.538,13.2467,52.538
junction_339,13.237_52.5469,13.237,52.5469
junction_340,13.2324_52.5383,13.2324,52.5383
junction_341,13.2295_52.5302,13.2295,52.5302
junction_342,13.2302_52.5301,13.2302,52.5301
junction_343,13.2332_52.5384,13.2332,52.5384
junction_344,13.2388_52.5415,13.2388,52.5415
junction_345,13.2475_52.5383,13.2475,52.5383
junction_346,13.2209_52.54,13.2209,52.54
junction_347,13.2261_52.5411,13.2261,52.5411
junction_348,13.2295_52.5462,13.2295,52.5462
junction_349,13.2313_52.5458,13.2313,52.5458
junction_350,13.242_52.5283,13.242,52.5283
junction_351,13.2226_52.5389,13.2226,52.5389
junction_352,13.2227_52.5386,13.2227,52.5386
junction_353,13.2229_52.5383,13.2229,52.5383
junction_354,13.2337_52.5397,13.2337,52.5397
junction_355,13.2318_52.5407,13.2318,52.5407
junction_356,13.2307_52.5465,13.2307,52.5465
junction_357,13.2316_52.53,13.2316,52.53
junction_358,13.2319_52.5446,13.2319,52.5446
junction_359,13.2303_52.5467,13.2303,52.5467
junction_360,13.2316_52.5297,13.2316,52.5297
junction_361,13.2361_52.5386,13.2361,52.5386
junction_362,13.2362_52.5388,13.2362,52.5388
junction_363,13.2404_52.534,13.2404,52.534
junction_364,13.2319_52.5393,13.2319,52.5393
junction_365,13.24_52.5325,13.24,52.5325
junction_366,13.2384_52.5332,13.2384,52.5332
junction_367,13.2422_52.5384,13.2422,52.5384
junction_368,13.237_52.5314,13.237,52.5314
junction_369,13.2394_52.5415,13.2394,52.5415
junction_370,13.2194_52.5408,13.2194,52.5408
junction_371,13.2337_52.5296,13.2337,52.5296
junction_372,13.2343_52.5296,13.2343,52.5296
junction_373,13.244_52.5365,13.244,52.5365
junction_374,13.2468_52.534,13.2468,52.534
junction_375,13.2463_52.5342,13.2463,52.5342
junction_376,13.2454_52.5318,13.2454,52.5318
junction_377,13.2285_52.5282,13.2285,52.5282
junction_378,13.2316_52.5277,13.2316,52.5277
junction_379,13.2259_52.5424,13.2259,52.5424
junction_380,13.2409_52.5379,13.2409,52.5379
junction_381,13.2408_52.5377,13.2408,52.5377
junction_382,13.2407_52.5377,13.2407,52.5377
junction_383,13.2324_52.5276,13.2324,52.5276
junction_384,13.2415_52.5282,13.2415,52.5282
junction_385,13.232_52.5406,13.232,52.5406
junction_386,13.2312_52.5381,13.2312,52.5381
junction_387,13.2261_52.541,13.2261,52.541
junction_388,13.2245_52.5391,13.2245,52.5391
junction_389,13.2208_52.531,13.2208,52.531
junction_390,13.2209_52.5313,13.2209,52.5313
junction_391,13.2249_52.5455,13.2249,52.5455
junction_392,13.2476_52.5325,13.2476,52.5325
junction_393,13.2207_52.531,13.2207,52.531
junction_394,13.232_52.5297,13.232,52.5297
junction_395,13.2323_52.5427,13.2323,52.5427
junction_396,13.247_52.5322,13.247,52.5322
junction_397,13.2469_52.5322,13.2469,52.5322
junction_398,13.2467_52.5315,13.2467,52.5315
junction_399,13.222_52.5316,13.222,52.5316
junction_400,13.2371_52.5292,13.2371,52.5292
junction_401,13.2419_52.5434,13.2419,52.5434
junction_402,13.2287_52.5383,13.2287,52.5383
junction_403,13.2332_52.5454,13.2332,52.5454
junction_404,13.2392_52.5286,13.2392,52.5286
junction_405,13.2412_52.5385,13.2412,52.5385
junction_406,13.2407_52.5386,13.2407,52.5386
junction_407,13.22_52.5405,13.22,52.5405
junction_408,13.2196_52.5409,13.2196,52.5409
junction_409,13.2472_52.5341,13.2472,52.5341
junction_410,13.2252_52.5383,13.2252,52.5383
junction_411,13.2383_52.5447,13.2383,52.5447
junction_412,13.2229_52.5442,13.2229,52.5442
junction_413,13.218_52.5381,13.218,52.5381
junction_414,13.219_52.5393,13.219,52.5393
junction_415,13.2419_52.5435,13.2419,52.5435
junction_416,13.2189_52.5401,13.2189,52.5401
junction_417,13.2189_52.5408,13.2189,52.5408
